epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,277.067,0.98333,1.00632,1.00067,0.93763,0.93925,0.995,0.68532,1.10827,0.9062,0.90872,0.000953,0.000953,0.000953
38,284.87,0.94006,0.9827,1.00616,0.92433,0.98251,0.995,0.78061,0.8908,0.90311,0.90774,0.00094475,0.00094475,0.00094475
39,292.421,0.96691,0.97189,1.01361,0.83928,0.99098,0.995,0.74545,0.93838,0.91932,0.87968,0.0009365,0.0009365,0.0009365
40,299.722,0.95627,0.96623,0.99968,0.95555,1,0.995,0.68554,1.11951,0.78593,0.92057,0.00092825,0.00092825,0.00092825
41,307.04,0.93626,0.95755,1.01912,0.96071,0.97736,0.995,0.65968,1.21297,0.7991,0.95549,0.00092,0.00092,0.00092
42,314.284,1.02503,0.9503,1.04811,0.92057,1,0.995,0.68502,1.15391,0.80558,0.94015,0.00091175,0.00091175,0.00091175
43,321.641,0.99648,0.90821,1.02269,0.92313,0.88732,0.995,0.68251,1.09565,0.85633,0.9314,0.0009035,0.0009035,0.0009035
44,328.882,0.94512,0.89113,0.99217,0.96645,0.90237,0.995,0.70767,1.01803,0.8596,0.92303,0.00089525,0.00089525,0.00089525
45,336.367,0.99253,0.9431,1.03969,0.80989,0.84576,0.96563,0.71224,0.93287,1.05774,0.91269,0.000887,0.000887,0.000887
46,343.782,0.94384,0.90938,1.0119,0.91086,0.96632,0.995,0.603,1.41704,0.88355,1.03306,0.00087875,0.00087875,0.00087875
47,351.422,0.97695,0.88043,1.00708,0.91521,1,0.995,0.72391,0.99731,0.77494,0.91376,0.0008705,0.0008705,0.0008705
48,358.856,1.00296,0.84989,0.98855,0.92146,1,0.995,0.61419,1.31573,0.78757,0.9756,0.00086225,0.00086225,0.00086225
49,366.302,0.94721,0.8432,1.00083,0.92406,1,0.995,0.68521,1.18811,0.76974,0.9387,0.000854,0.000854,0.000854
50,373.674,0.93049,0.83371,1.01233,0.9309,0.99568,0.995,0.72687,1.10016,0.76931,0.91941,0.00084575,0.00084575,0.00084575
51,381.177,0.97199,0.87592,1.02257,0.94204,0.99534,0.995,0.77147,0.92422,0.64987,0.89315,0.0008375,0.0008375,0.0008375
52,388.636,0.97018,0.79678,1.03934,0.95901,0.99094,0.995,0.71558,1.0849,0.64074,0.90863,0.00082925,0.00082925,0.00082925
53,396.047,0.99307,0.88062,1.05171,0.92381,0.93674,0.97281,0.68942,1.12492,0.70676,0.93067,0.000821,0.000821,0.000821
54,403.189,0.92574,0.83357,1.0058,0.96177,0.9317,0.995,0.72185,1.05693,0.68032,0.91336,0.00081275,0.00081275,0.00081275
55,410.497,0.96571,0.80958,1.02553,0.89405,0.99984,0.995,0.7039,1.11011,0.74296,0.93055,0.0008045,0.0008045,0.0008045
56,418.327,0.87655,0.72594,0.985,0.91792,0.99452,0.995,0.63963,1.25618,0.7143,0.96039,0.00079625,0.00079625,0.00079625
57,426.048,0.96682,0.83559,1.0087,0.94025,1,0.995,0.65619,1.28474,0.78414,0.95033,0.000788,0.000788,0.000788
58,433.76,0.91305,0.77401,1.03107,0.91228,1,0.99062,0.77863,0.88798,0.63114,0.88177,0.00077975,0.00077975,0.00077975
